▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.82:3000
- Environments: .env.local, .env
✓ Ready in 197ms

(node:59400) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
 GET /api/p2p/bot/config 200 in 137ms (next.js: 3ms, application-code: 134ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 264ms (next.js: 7ms, application-code: 257ms)
 GET /api/p2p/bot/exchange-config?_=xgfhhchcli 200 in 898ms (next.js: 6ms, application-code: 892ms)
 GET /api/binance/credentials 200 in 135ms (next.js: 4ms, application-code: 131ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1288ms (next.js: 11ms, application-code: 1277ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 608ms (next.js: 1731µs, application-code: 607ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 13ms, application-code: 4.3s)
 GET /api/p2p/initial-capital 200 in 135ms (next.js: 3ms, application-code: 132ms)
 GET /api/binance/p2p-history 200 in 5.2s (next.js: 4ms, application-code: 5.2s)
 GET /api/p2p/initial-capital 200 in 143ms (next.js: 6ms, application-code: 136ms)
 GET /api/p2p/capacity 200 in 1373ms (next.js: 3ms, application-code: 1370ms)
 POST /api/p2p/bot/cycle 200 in 29.3s (next.js: 4ms, application-code: 29.3s)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 187ms (next.js: 11ms, application-code: 176ms)
 GET /api/p2p/bot/config 200 in 189ms (next.js: 5ms, application-code: 184ms)
 GET /api/p2p/bot/exchange-config?_=rs7zmzqox2 200 in 1225ms (next.js: 4ms, application-code: 1221ms)
 GET /api/binance/credentials 200 in 141ms (next.js: 3ms, application-code: 137ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1601ms (next.js: 2ms, application-code: 1598ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 718ms (next.js: 2ms, application-code: 716ms)
 GET /api/binance/p2p-history 200 in 5.7s (next.js: 7ms, application-code: 5.7s)
 GET /api/p2p/initial-capital 200 in 130ms (next.js: 1663µs, application-code: 129ms)
 GET /api/binance/p2p-history 200 in 5.7s (next.js: 18ms, application-code: 5.7s)
 GET /api/p2p/initial-capital 200 in 164ms (next.js: 20ms, application-code: 144ms)
 GET /api/p2p/capacity 200 in 267ms (next.js: 6ms, application-code: 261ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 8ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 144ms (next.js: 9ms, application-code: 134ms)
 POST /api/p2p/bot/cycle 200 in 31.9s (next.js: 3ms, application-code: 31.9s)
 GET /api/p2p/bot/config 200 in 140ms (next.js: 7ms, application-code: 133ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 270ms (next.js: 12ms, application-code: 258ms)
 GET /api/p2p/bot/exchange-config?_=xpqsl0s59op 200 in 922ms (next.js: 6ms, application-code: 916ms)
 GET /api/binance/credentials 200 in 167ms (next.js: 2ms, application-code: 165ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1320ms (next.js: 17ms, application-code: 1304ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 603ms (next.js: 2ms, application-code: 600ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 6ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 134ms (next.js: 3ms, application-code: 131ms)
 GET /dashboard 200 in 1230ms (next.js: 10ms, application-code: 1220ms)
 POST /api/p2p/bot/cycle 200 in 11.3s (next.js: 5ms, application-code: 11.3s)
 GET /api/p2p/initial-capital 200 in 133ms (next.js: 1988µs, application-code: 131ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 146ms (next.js: 9ms, application-code: 137ms)
 GET /api/p2p/bot/config 200 in 148ms (next.js: 3ms, application-code: 145ms)
 GET /api/p2p/initial-capital 200 in 133ms (next.js: 1645µs, application-code: 132ms)
 GET /api/p2p/capacity 200 in 258ms (next.js: 3ms, application-code: 254ms)
 GET /api/operations 200 in 1092ms (next.js: 43ms, application-code: 1048ms)
 GET /api/p2p/bot/config 200 in 135ms (next.js: 3ms, application-code: 133ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 133ms (next.js: 2ms, application-code: 130ms)
 GET /api/p2p/bot/exchange-config?_=wm96g7fp3rf 200 in 139ms (next.js: 4ms, application-code: 135ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 598ms (next.js: 1551µs, application-code: 596ms)
 GET /api/binance/credentials 200 in 133ms (next.js: 2ms, application-code: 131ms)
 GET /api/expenses 200 in 261ms (next.js: 3ms, application-code: 258ms)
 GET /api/p2p/bot/exchange-config?_=tr28da9cko 200 in 920ms (next.js: 18ms, application-code: 902ms)
 GET /api/p2p/initial-capital 200 in 131ms (next.js: 2ms, application-code: 129ms)
 GET /api/capital 200 in 261ms (next.js: 3ms, application-code: 257ms)
 GET /api/binance/credentials 200 in 134ms (next.js: 3ms, application-code: 131ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1305ms (next.js: 13ms, application-code: 1292ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 5ms (next.js: 1482µs, application-code: 4ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 636ms (next.js: 2ms, application-code: 634ms)
 GET /api/p2p/capacity 200 in 269ms (next.js: 1601µs, application-code: 267ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 595ms (next.js: 1330µs, application-code: 593ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 9ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 145ms (next.js: 11ms, application-code: 134ms)
 POST /api/p2p/bot/cycle 200 in 28.5s (next.js: 3ms, application-code: 28.5s)
 GET /api/p2p/bot/config 200 in 144ms (next.js: 7ms, application-code: 137ms)
 GET /api/p2p/capacity 200 in 254ms (next.js: 1376µs, application-code: 253ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 921ms (next.js: 19ms, application-code: 902ms)
 GET /api/p2p/bot/exchange-config?_=easn5gwr8vl 200 in 912ms (next.js: 7ms, application-code: 906ms)
 GET /api/binance/credentials 200 in 129ms (next.js: 1560µs, application-code: 127ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1298ms (next.js: 8ms, application-code: 1290ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 606ms (next.js: 1891µs, application-code: 604ms)
 GET /api/binance/p2p-history 200 in 5.2s (next.js: 2ms, application-code: 5.2s)
 GET /api/p2p/initial-capital 200 in 134ms (next.js: 3ms, application-code: 131ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 6ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 133ms (next.js: 3ms, application-code: 130ms)
 POST /api/p2p/bot/cycle 200 in 27.8s (next.js: 1400µs, application-code: 27.8s)
 GET /api/p2p/bot/config 200 in 146ms (next.js: 8ms, application-code: 137ms)
 GET /api/p2p/bot/exchange-config?_=gpjif3yev55 200 in 915ms (next.js: 10ms, application-code: 905ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 918ms (next.js: 3ms, application-code: 915ms)
 GET /api/binance/credentials 200 in 136ms (next.js: 4ms, application-code: 132ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1313ms (next.js: 6ms, application-code: 1306ms)
 GET /api/p2p/capacity 200 in 1037ms (next.js: 4ms, application-code: 1033ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 613ms (next.js: 2ms, application-code: 611ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 6ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 132ms (next.js: 1650µs, application-code: 130ms)
 GET /api/binance/p2p-history 200 in 5.2s (next.js: 7ms, application-code: 5.1s)
 GET /api/p2p/initial-capital 200 in 134ms (next.js: 3ms, application-code: 131ms)
 POST /api/p2p/bot/cycle 200 in 27.7s (next.js: 4ms, application-code: 27.7s)
 GET /api/p2p/bot/config 200 in 144ms (next.js: 5ms, application-code: 139ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 260ms (next.js: 3ms, application-code: 256ms)
 GET /api/p2p/bot/exchange-config?_=kt4liowyeen 200 in 906ms (next.js: 6ms, application-code: 900ms)
 GET /api/p2p/capacity 200 in 260ms (next.js: 3ms, application-code: 257ms)
 GET /api/binance/credentials 200 in 133ms (next.js: 1761µs, application-code: 131ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1304ms (next.js: 6ms, application-code: 1298ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 596ms (next.js: 3ms, application-code: 593ms)
 GET /api/binance/p2p-history 200 in 4.3s (next.js: 4ms, application-code: 4.3s)
 GET /api/p2p/initial-capital 200 in 133ms (next.js: 3ms, application-code: 130ms)
 GET /api/binance/p2p-history 200 in 4.5s (next.js: 4ms, application-code: 4.5s)
 GET /api/p2p/initial-capital 200 in 144ms (next.js: 5ms, application-code: 139ms)
 POST /api/p2p/bot/cycle 200 in 28.5s (next.js: 3ms, application-code: 28.4s)
 GET /api/p2p/bot/config 200 in 153ms (next.js: 11ms, application-code: 142ms)
 GET /api/p2p/capacity 200 in 262ms (next.js: 1807µs, application-code: 260ms)
 GET /api/p2p/bot/exchange-config?_=sf50ahn6ecc 200 in 897ms (next.js: 11ms, application-code: 886ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 929ms (next.js: 24ms, application-code: 905ms)
 GET /api/binance/credentials 200 in 132ms (next.js: 4ms, application-code: 129ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1280ms (next.js: 11ms, application-code: 1268ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 597ms (next.js: 1846µs, application-code: 595ms)
 GET /api/binance/p2p-history 200 in 5.1s (next.js: 9ms, application-code: 5.1s)
 GET /api/p2p/initial-capital 200 in 129ms (next.js: 1747µs, application-code: 128ms)
 GET /api/binance/p2p-history 200 in 4.5s (next.js: 7ms, application-code: 4.5s)
 GET /api/p2p/initial-capital 200 in 146ms (next.js: 6ms, application-code: 140ms)
 POST /api/p2p/bot/cycle 200 in 27.9s (next.js: 3ms, application-code: 27.9s)
 GET /api/p2p/bot/config 200 in 132ms (next.js: 3ms, application-code: 129ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 892ms (next.js: 2ms, application-code: 890ms)
 GET /api/p2p/bot/exchange-config?_=2xpjp0f3rzp 200 in 892ms (next.js: 5ms, application-code: 888ms)
 GET /api/binance/credentials 200 in 133ms (next.js: 3ms, application-code: 130ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1279ms (next.js: 6ms, application-code: 1273ms)
 GET /api/p2p/capacity 200 in 1010ms (next.js: 1994µs, application-code: 1008ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 598ms (next.js: 1900µs, application-code: 596ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 3ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 133ms (next.js: 3ms, application-code: 130ms)
 GET /api/binance/p2p-history 200 in 5.2s (next.js: 9ms, application-code: 5.2s)
 GET /api/p2p/initial-capital 200 in 138ms (next.js: 6ms, application-code: 133ms)
 POST /api/p2p/bot/cycle 200 in 27.6s (next.js: 3ms, application-code: 27.6s)
 GET /api/p2p/bot/config 200 in 155ms (next.js: 15ms, application-code: 140ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 286ms (next.js: 22ms, application-code: 264ms)
 GET /api/p2p/bot/exchange-config?_=yqasjv9y29 200 in 903ms (next.js: 3ms, application-code: 899ms)
 GET /api/p2p/capacity 200 in 270ms (next.js: 5ms, application-code: 265ms)
 GET /api/binance/credentials 200 in 141ms (next.js: 3ms, application-code: 138ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1324ms (next.js: 1418µs, application-code: 1322ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 620ms (next.js: 1724µs, application-code: 618ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 3ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 132ms (next.js: 5ms, application-code: 127ms)
 GET /api/binance/p2p-history 200 in 6.7s (next.js: 6ms, application-code: 6.7s)
 GET /api/p2p/initial-capital 200 in 162ms (next.js: 11ms, application-code: 151ms)
 GET /api/p2p/capacity 200 in 263ms (next.js: 1887µs, application-code: 261ms)
 POST /api/p2p/bot/cycle 200 in 31.6s (next.js: 4ms, application-code: 31.6s)
 GET /api/p2p/bot/config 200 in 133ms (next.js: 3ms, application-code: 130ms)
 GET /api/p2p/bot/exchange-config?_=rfo6xifi89 200 in 919ms (next.js: 5ms, application-code: 914ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 931ms (next.js: 5ms, application-code: 925ms)
 GET /api/binance/credentials 200 in 142ms (next.js: 10ms, application-code: 131ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1316ms (next.js: 8ms, application-code: 1308ms)
 GET /api/binance/p2p-history 200 in 4.6s (next.js: 3ms, application-code: 4.6s)
 GET /api/p2p/bot/ads?exchange=binance 200 in 611ms (next.js: 2ms, application-code: 609ms)
 GET /api/p2p/initial-capital 200 in 133ms (next.js: 2ms, application-code: 131ms)
 GET /api/binance/p2p-history 200 in 5.2s (next.js: 7ms, application-code: 5.1s)
 GET /api/p2p/initial-capital 200 in 137ms (next.js: 5ms, application-code: 132ms)
 GET /api/p2p/capacity 200 in 1374ms (next.js: 5ms, application-code: 1369ms)
 POST /api/p2p/bot/cycle 200 in 29.6s (next.js: 3ms, application-code: 29.6s)
 GET /api/p2p/bot/config 200 in 146ms (next.js: 5ms, application-code: 141ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 148ms (next.js: 11ms, application-code: 137ms)
 GET /api/binance/p2p-history 200 in 5.7s (next.js: 12ms, application-code: 5.7s)
 GET /api/p2p/bot/exchange-config?_=01qxep185hzr 200 in 1158ms (next.js: 4ms, application-code: 1154ms)
 GET /api/p2p/initial-capital 200 in 174ms (next.js: 4ms, application-code: 170ms)
 GET /api/binance/credentials 200 in 133ms (next.js: 1872µs, application-code: 131ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1551ms (next.js: 2ms, application-code: 1548ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 716ms (next.js: 1271µs, application-code: 714ms)
 GET /api/binance/p2p-history 200 in 6.2s (next.js: 7ms, application-code: 6.2s)
 GET /api/p2p/initial-capital 200 in 157ms (next.js: 4ms, application-code: 153ms)
 GET /api/p2p/capacity 200 in 1047ms (next.js: 3ms, application-code: 1044ms)
 GET /api/binance/p2p-history 200 in 4.5s (next.js: 5ms, application-code: 4.5s)
 GET /api/p2p/initial-capital 200 in 131ms (next.js: 1626µs, application-code: 129ms)
 POST /api/p2p/bot/cycle 200 in 31.9s (next.js: 6ms, application-code: 31.9s)
 GET /api/p2p/bot/config 200 in 139ms (next.js: 3ms, application-code: 136ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 142ms (next.js: 7ms, application-code: 135ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 525ms (next.js: 12ms, application-code: 513ms)
 GET /api/p2p/bot/exchange-config?_=dnzjq1u4sk4 200 in 902ms (next.js: 4ms, application-code: 898ms)
